"","Bcells","CAFs","CD4_Tcells","CD8_Tcells","Endothelial","Macrophages","NKcells","otherCells"
"19127FL-02-87_S81_L007",0.0106784972186668,0.17636699295273,0.179899574146186,0.0288293287347562,0.049804924113108,0.00747147782413698,1.11806340524014e-10,0.54694920489861
"19127FL-02-21_S18_L002",0.0295441773228418,0.0417288245087753,0.14133213127837,0.0573719385531713,0.0568772042610305,0.0112638849746031,3.51390332893946e-10,0.661881838749817
"19127FL-02-06_S14_L002",0.00794897665063922,0.180661623478529,0.110653797932417,0.0193852770947415,0.0532604817977137,0.00646275024886989,1.28805805260466e-09,0.621627091509032
"19127FL-02-50_S68_L006",0.00151481619613957,0.0592007683297541,0.0411718998941759,0.0430633775616348,0.0640585049970676,0.00578784490176241,2.77227453909374e-09,0.785202785347191
"19127FL-02-77_S43_L004",0.0327821300884179,0.176803014900141,0.170625935074277,0.0792024985818603,0.0682249157055039,0.0158061691071477,3.46019660629489e-08,0.456555301940686
"19127FL-02-18_S17_L002",0.0327794271793344,0.34335976664926,0.131080038149407,0.0179255702630905,0.042673519686895,0.0184723009433608,2.1102474270067e-08,0.413709356026178
"19127FL-02-90_S69_L006",0.00228692853226469,0.034339627133641,0.0753077359229926,0.0736108942876762,0.0334396957895209,0.00315933165354088,1.73710389452374e-07,0.777855612969974
"19127FL-02-68_S39_L004",0.0174008131447832,0.32663700447648,0.123888544525114,0.0350138785194629,0.0540290750243213,0.0092096632011324,9.34524329151541e-11,0.433821021015253
"19127FL-02-51_S647_L008",0.00615163021032046,0.0573451473847735,0.14454046994668,0.0393106017430005,0.0280407807447322,0.00149626993948403,4.59054151564677e-09,0.723115095440468
"19127FL-02-28_S59_L006",0.00622360735414555,0.231937067909782,0.109101637988672,0.018704032233048,0.0343909388063614,0.00749994543359752,1.22929408548842e-09,0.592142769045099
"19127FL-02-36_S65_L006",0.0143863106091631,0.0378567966164759,0.0932629358778977,0.0263499010539962,0.0478788300019781,0.00323077058440756,5.49244812988838e-10,0.777034454706837
"19127FL-02-03_S638_L008",0.00114321678803258,0.0386586047992854,0.0696162476455264,0.0222438414337739,0.0200324782668819,0.00564042055848807,1.60166662155923e-12,0.84266519050641
"19127FL-02-17_S640_L008",0.0264284096030724,0.0195649296391462,0.138085191115784,0.041038501121593,0.0652921498308659,0.00828823653441145,1.16477637092747e-09,0.70130258099035
"19127FL-02-25_S74_L007",0.0865785293083561,0.29249404405587,0.272488073042291,0.0653802238777756,0.042469549236933,0.0143424121023132,1.7720938813962e-07,0.226246991167073
"19127FL-02-27_S643_L008",0.0286457226137652,0.132725619513674,0.124346793662026,0.0571806392760862,0.0531337855388437,0.0141051506098972,3.56135525242887e-10,0.589862288429572
"19127FL-02-30_S60_L006",0.00176878391611963,0.102951287918734,0.0739252841147374,0.0278487008358736,0.0305131979660818,0.00361939432797681,1.96951792440489e-07,0.759373153968684
"19127FL-02-39_S85_L008",0.00425348176053462,0.144688020045136,0.0823417731515044,0.0240852775529867,0.0318580100466418,0.00393892835088223,5.6730950909381e-09,0.708834503419219
"19127FL-02-31_S61_L006",0.00906012888942211,0.024279768935694,0.103216129242509,0.0333023837208726,0.0298687369695547,0.00290198930680462,1.72422054480731e-10,0.797370862762721
"19127FL-02-09_S72_L007",0.00339652632005181,0.018810033316283,0.107604582475092,0.0266591595489049,0.044518753606024,0.00242464901470406,1.28963268317051e-10,0.796586295589977
